Категория;Сложность;Вопрос;Варианты_ответов
История;Средний;В каком году закончилась Вторая мировая война?;[1945, 1941, 1943, 1947]
История;Средний;Кто был первым президентом России?;[Борис Ельцин, Владимир Путин, Дмитрий Медведев, Михаил Горбачёв]
История;Средний;В каком году образована ООН?;[1945, 1939, 1950, 1942]
История;Средний;Кто открыл Америку?;[Христофор Колумб, Фернан Магеллан, Джеймс Кук, Васко да Гама]
История;Сложный;В каком году началась Великая французская революция?;[1789, 1776, 1799, 1804]
История;Сложный;Кто был первым императором Рима?;[Октавиан Август, Юлий Цезарь, Нерон, Каллигула]
История;Сложный;В каком году пала Византийская империя?;[1453, 1492, 1204, 1380]
История;Сложный;Кто был первым канцлером Германии?;[Отто фон Бисмарк, Вильгельм II, Гитлер, Шрёдер]
История;Сложный;В каком году началась Холодная война?;[1947, 1945, 1950, 1960]
Литература;Легкий;Кто автор «Гарри Поттера»?;[Дж. К. Роулинг, Стивен Кинг, Джордж Мартин, Джоан Роулинг]
Литература;Легкий;Сколько томов в «Властелине колец»?;[3, 4, 5, 2]
Литература;Легкий;Кто написал «Преступление и наказание»?;[Достоевский, Толстой, Чехов, Гоголь]
Литература;Легкий;Кто написал «Мастер и Маргарита»?;[Михаил Булгаков, Александр Блок, Андрей Белый, Владимир Набоков]
Литература;Легкий;Кто написал «Войну и мир»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Средний;Кто написал «Анну Каренину»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Средний;Кто написал «Божественную комедию»?;[Данте, Петрарка, Боккаччо, Гомер]
Литература;Средний;Кто написал «Гамлета»?;[Уильям Шекспир, Кристофер Марло, Джон Милтон, Джон Донн]
Литература;Средний;Кто написал «1984»?;[Джордж Оруэлл, Рэй Брэдбери, Герберт Уэллс, Айзек Азимов]
Литература;Средний;Кто написал «Великий Гэтсби»?;[Фрэнсис Скотт Фицджеральд, Эрнест Хемингуэй, Джон Стейнбек, Уильям Фолкнер]
Литература;Сложный;Кто написал «Братья Карамазовы»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Сложный;Кто написал «Мёртвые души»?;[Николай Гоголь, Михаил Булгаков, Александр Пушкин, Иван Тургенев]
Литература;Сложный;Кто написал «Войну миров»?;[Герберт Уэллс, Рэй Брэдбери, Артур Кларк, Айзек Азимов]
Литература;Сложный;Кто написал «Портрет Дориана Грея»?;[Оскар Уайльд, Артур Конан Дойл, Редьярд Киплинг, Томас Харди]
Литература;Сложный;Кто написал «Улисс»?;[Джеймс Джойс, Вирджиния Вулф, Т. С. Элиот, Д. Х. Лоуренс]
Музыка;Легкий;Сколько струн у гитары?;[6, 5, 7, 4]
Музыка;Легкий;Какой инструмент имеет клавиши?;[Фортепиано, Скрипка, Гитара, Труба]
Музыка;Легкий;Кто написал «Лунную сонату»?;[Бетховен, Моцарт, Бах, Шопен]
Музыка;Легкий;Сколько нот в диатонической гамме?;[7, 8, 6, 5]
Музыка;Легкий;Какой инструмент самый большой в оркестре?;[Контрабас, Виолончель, Скрипка, Флейта]
Музыка;Средний;Кто основал группу The Beatles?;[Джон Леннон, Пол Маккартни, Джордж Харрисон, Ринго Старр]
Музыка;Средний;В каком году вышел альбом «Thriller» Майкла Джексона?;[1982, 1985, 1980, 1988]
Музыка;Средний;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Музыка;Средний;Сколько голосов в оперном квартете?;[4, 3, 5, 2]
Музыка;Средний;Какой музыкальный инструмент называется «король инструментов»?;[Орган, Фортепиано, Скрипка, Труба]
Музыка;Сложный;Кто написал симфонию №9 «Хоровая»?;[Бетховен, Моцарт, Брамс, Шуберт]
Музыка;Сложный;Кто написал «Времена года»?;[Вивальди, Бах, Гендель, Перголези]
Музыка;Сложный;Кто написал «Клятвопреступление»?;[Джузеппе Верди, Джакомо Пуччини, Риккардо Зандонаи, Амилкаре Понкьелли]
Музыка;Сложный;Кто написал «Свадьбу Фигаро»?;[Моцарт, Гайдн, Бетховен, Шуберт]
Музыка;Сложный;Кто написал «Кармен»?;[Жорж Бизе, Шарль Гуно, Джакомо Пуччини, Рихард Вагнер]
Кино;Легкий;Кто сыграл Джека в «Титанике»?;[Леонардо Ди Каприо, Брэд Питт, Том Круз, Джонни Депп]
Кино;Легкий;Как называется первая часть «Звёздных войн»?;[Эпизод IV, Эпизод I, Эпизод II, Эпизод III]
Кино;Легкий;Кто режиссёр «Крёстного отца»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Мартин Скорсезе, Квентин Тарантино]
Кино;Легкий;Сколько «Оскаров» получил «Титаник»?;[11, 10, 9, 12]
Кино;Легкий;Кто снял фильм «Криминальное чтиво»?;[Квентин Тарантино, Гай Ричи, Дэвид Финчер, Райан Джонсон]
Кино;Средний;В каком году вышел первый «Звёздный путь» фильм?;[1979, 1975, 1982, 1985]
Кино;Средний;Кто сыграл Гарри Поттера в фильмах?;[Дэниел Рэдклифф, Руперт Гринт, Том Фелтон, Эмма Уотсон]
Кино;Средний;Кто режиссёр фильма «Начало»?;[Кристофер Нолан, Джеймс Кэмерон, Питер Джексон, Джордж Лукас]
Кино;Средний;В каком году вышел первый фильм «Матрица»?;[1999, 1997, 2001, 1995]
Кино;Средний;Кто сыграл Железного человека?;[Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт]
Кино;Сложный;Кто снял фильм «Апокалипсис сегодня»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Джордж Лукас, Мартин Скорсезе]
Кино;Сложный;Кто снял фильм «2001 год: Космическая одиссея»?;[Стэнли Кубрик, Альфред Хичкок, Фрэнсис Форд Коппола, Стивен Спилберг]
Кино;Сложный;Кто снял фильм «Паразиты»?;[Пон Джун-хо, Акира Куросава, Ким Ки Дук, Ли Чхан Дон]
Кино;Сложный;Кто снял фильм «Бойцовский клуб»?;[Дэвид Финчер, Тодд Филд, Терри Гиллиам, Майкл Бэй]
Кино;Сложный;Кто снял фильм «Сияние»?;[Стэнли Кубрик, Альфред Хичкок, Уильям Фридкин, Джордж Ромеро]
Игры;Легкий;Как называется игра про злых птиц?;[Angry Birds, Candy Crush, Clash of Clans, Pokemon GO]
Игры;Легкий;Сколько игроков в Minecraft?;[Бесконечно, 10, 50, 100]
Игры;Легкий;Кто создал серию игр «The Legend of Zelda»?;[Нинтендо, Sony, Microsoft, EA]
Игры;Легкий;В каком году вышел первый «Grand Theft Auto»?;[1997, 1995, 2000, 1998]
Игры;Легкий;Как называется игра про выживание с крафтом?;[Minecraft, Terraria, Subnautica, Rust]
Игры;Средний;Кто разрабатывает серию «The Witcher»?;[CD Projekt Red, Ubisoft, Bethesda, BioWare]
Игры;Средний;Как называется игра про супергероев от Rockstar?;[Red Dead Redemption, GTA, Max Payne, Bully]
Игры;Средний;Кто создал игру «Doom»?;[id Software, Epic Games, Valve, Bungie]
Игры;Средний;Как называется игра про шахты и сокровища?;[Minecraft, Terraria, Don't Starve, Factorio]
Игры;Средний;В каком году вышла игра «The Last of Us»?;[2013, 2015, 2010, 2018]
Игры;Сложный;Кто создал игру «Minecraft»?;[Маркус Перссон, Нотч, Джефф, Крис]
Игры;Сложный;Как называется игра про космические сражения от Microsoft?;[Halo, Gears of War, Fable, Age of Empires]
Игры;Сложный;Кто создал игру «Dark Souls»?;[FromSoftware, Capcom, Konami, Square Enix]
Игры;Сложный;Как называется игра про выживание в постапокалипсисе?;[Fallout, The Elder Scrolls, Skyrim, Oblivion]
Игры;Сложный;Кто создал игру «Half-Life»?;[Valve, Epic Games, id Software, BioWare]
Кулинария;Легкий;Из чего делают суши?;[Рис, Паста, Картофель, Баклажан]
Кулинария;Легкий;Какой фрукт используется для бананового хлеба?;[Банан, Яблоко, Груша, Апельсин]
Кулинария;Легкий;Что такое паста карбонара?;[Макароны с беконом и яйцом, Паста с томатным соусом, Паста с грибами, Паста с креветками]
Кулинария;Легкий;Какая специя придаёт жёлтый цвет рису?;[Шафран, Куркума, Паприка, Карри]
Кулинария;Легкий;Что такое суфле?;[Воздушный десерт, Суп, Салат, Мясо]
Кулинария;Средний;Какой сыр используется для пиццы Маргарита?;[Моцарелла, Пармезан, Чеддер, Гауда]
Кулинария;Средний;Из чего делают хумус?;[Нут, Фасоль, Чечевица, Горох]
Кулинария;Средний;Что такое тако?;[Мексиканское блюдо, Китайское блюдо, Индийское блюдо, Японское блюдо]
Кулинария;Средний;Какая рыба используется для сашими?;[Сырая рыба, Варёная рыба, Жареная рыба, Копчёная рыба]
Кулинария;Средний;Что такое ризотто?;[Итальянское блюдо из риса, Французское блюдо из картофеля, Испанское блюдо из пасты, Немецкое блюдо из мяса]
Кулинария;Сложный;Как называется японское блюдо из сырой рыбы?;[Сашими, Суши, Рамен, Темпура]
Кулинария;Сложный;Что такое фо-бо?;[Вьетнамский суп, Китайский суп, Японский суп, Корейский суп]
Кулинария;Сложный;Какой ингредиент используется для тирамису?;[Маскарпоне, Рикотта, Пармезан, Моцарелла]
Кулинария;Сложный;Что такое гуакамоле?;[Соус из авокадо, Соус из томатов, Соус из чеснока, Соус из перца]
Кулинария;Сложный;Как называется французский пирог с заварным кремом?;[Квеш, Тарт, Пон, Круассан]
Животные;Легкий;Сколько ног у паука?;[8, 6, 4, 10]
Животные;Легкий;Какой зверь самый быстрый?;[Гепард, Лев, Тигр, Леопард]
Животные;Легкий;Какая птица не умеет летать?;[Страус, Орёл, Сокол, Воробей]
Животные;Легкий;Сколько сердец у осьминога?;[3, 2, 4, 1]
Животные;Легкий;Какой зверь спит стоя?;[Лошадь, Корова, Свинья, Коза]
Животные;Средний;Какое животное имеет самый большой мозг?;[Кит, Слон, Человек, Дельфин]
Животные;Средний;Какая птица самая большая?;[Страус, Пингвин, Орёл, Аист]
Животные;Средний;Сколько ног у краба?;[10, 8, 6, 12]
Животные;Средний;Какое животное самое высокое?;[Жираф, Слон, Лошадь, Олень]
Животные;Средний;Какая рыба самая большая?;[Китовая акула, Белая акула, Тунец, Лосось]
Животные;Сложный;Какое животное имеет самый большой мозг у беспозвоночных?;[Осьминог, Слон, Кит, Дельфин]
Животные;Сложный;Какая змея самая ядовитая?;[Тайпан, Кобра, Гремучая змея, Анаконда]
Животные;Сложный;Какое животное самое медленное?;[Ленивец, Черепаха, Улитка, Двухпалый ленивец]
Животные;Сложный;Сколько зубов у акул за всю жизнь?;[30000, 10000, 5000, 15000]
Животные;Сложный;Какое животное может жить без воды дольше всех?;[Верблюд, Тушканчик, Крыса, Мышь]
Космос;Легкий;Сколько планет в Солнечной системе?;[8, 9, 7, 10]
Космос;Легкий;Какая планета красная?;[Марс, Венера, Юпитер, Сатурн]
Космос;Легкий;Что такое чёрная дыра?;[Область с сильной гравитацией, Звезда, Планета, Галактика]
Космос;Легкий;Сколько времени свету от Солнца до Земли?;[8 минут, 5 минут, 10 минут, 15 минут]
Космос;Легкий;Какая галактика ближе всего к Млечному Пути?;[Андромеда, Треугольник, Сомбреро, Мессье]
Космос;Средний;Кто первый вышел в открытый космос?;[Алексей Леонов, Юрий Гагарин, Нил Армстронг, Базз Олдрин]
Космос;Средний;Какая планета самая большая?;[Юпитер, Сатурн, Уран, Нептун]
Космос;Средний;Сколько спутников у Земли?;[1, 2, 3, 4]
Космос;Средний;Какая планета имеет кольца?;[Сатурн, Юпитер, Уран, Нептун]
Космос;Средний;Что такое туманность?;[Облако газа и пыли, Звезда, Планета, Галактика]
Космос;Сложный;Кто был первым человеком в космосе?;[Юрий Гагарин, Нил Армстронг, Алексей Леонов, Герман Титов]
Космос;Сложный;Какая планета вращается «лежа на боку»?;[Уран, Нептун, Сатурн, Юпитер]
Космос;Сложный;Сколько звёзд в Млечном Пути?;[100-400 млрд, 50-100 млрд, 1-10 млрд, 1 трлн]
Космос;Сложный;Что такое пульсар?;[Нейтронная звезда, Чёрная дыра, Белый карлик, Красный гигант]
Космос;Сложный;Какая галактика столкнётся с Млечным Путём?;[Андромеда, Треугольник, Сомбреро, Мессье]
Физика;Легкий;Единица измерения силы тока?;[Ампер, Вольт, Ватт, Ом]
Физика;Легкий;Какая сила притягивает предметы к Земле?;[Гравитация, Магнетизм, Электричество, Ядерная]
Физика;Легкий;Скорость звука в воздухе?;[340 м/с, 300 м/с, 400 м/с, 250 м/с]
Физика;Легкий;Что такое масса?;[Количество вещества, Сила, Вес, Объём]
Физика;Легкий;Кто открыл закон всемирного тяготения?;[Ньютон, Эйнштейн, Галилей, Кеплер]
Физика;Средний;Какая формула E=mc??;[Энергия, Сила, Масса, Скорость]
Физика;Средний;Что такое квант?;[Минимальная порция энергии, Максимальная порция, Средняя порция, Средняя скорость]
Физика;Средний;Тело массой 2 кг движется по горизонтальной поверхности с ускорением 3 м/с². Чему равна сила, действующая на тело, если сила трения составляет 4 Н?;[6 H, 8 H, 4 H, 5 H]
Физика;Средний;Какой закон описывает движение тел?;[Закон Ньютона, Закон Кеплера, Закон Ома, Закон Бойля]
Физика;Средний;Что такое энтропия?;[Мера беспорядка, Мера порядка, Мера скорости, Мера массы]
Физика;Средний;Какая единица измерения мощности?;[Ватт, Джоуль, Ньютон, Паскаль]
Физика;Сложный;Кто создал теорию относительности?;[Эйнштейн, Ньютон, Галилей, Максвелл]
Физика;Сложный;Что такое кварк?;[Элементарная частица, Атом, Молекула, Ион]
Физика;Сложный;Какая частица не имеет массы?;[Фотон, Электрон, Протон, Нейтрон]
Физика;Сложный;Что такое суперпозиция?;[Сложение волн, Разложение волн, Умножение волн, Деление волн]
Физика;Сложный;Какой закон описывает электромагнитную индукцию?;[Закон Фарадея, Закон Ома, Закон Кирхгофа, Закон Ампера]
Химия;Легкий;Какой газ поддерживает горение?;[Кислород, Азот, Водород, Углекислый]
Химия;Легкий;pH воды равен?;[7, 5, 9, 10]
Химия;Легкий;Что такое H?SO??;[Серная кислота, Соляная кислота, Азотная кислота, Угольная кислота]
Химия;Легкий;Какой металл жидкий при комнатной температуре?;[Ртуть, Свинец, Олово, Цинк]
Химия;Легкий;Кто создал периодическую таблицу?;[Менделеев, Бойль, Дальтон, Авогадро]
Химия;Средний;Сколько элементов в таблице Менделеева?;[118, 100, 120, 115]
Химия;Средний;Что такое изотоп?;[Вариант элемента, Вариант молекулы, Вариант атома, Вариант иона]
Химия;Средний;Какой газ самый лёгкий?;[Водород, Гелий, Азот, Кислород]
Химия;Средний;Что такое окисление?;[Потеря электронов, Приобретение электронов, Потеря протонов, Приобретение протонов]
Химия;Средний;Какой металл самый твёрдый?;[Хром, Железо, Медь, Алюминий]
Химия;Сложный;Кто открыл радиоактивность?;[Мария Кюри, Альберт Эйнштейн, Нильс Бор, Вернер Гейзенберг]
Химия;Сложный;Что такое аллотропия?;[Разные формы одного элемента, Разные элементы, Разные молекулы, Разные ионы]
Химия;Сложный;Какой элемент имеет символ Au?;[Золото, Серебро, Медь, Железо]
Химия;Сложный;Что такое катализатор?;[Вещество ускоряет реакцию, Вещество замедляет реакцию, Вещество не влияет, Вещество останавливает]
Химия;Сложный;Какой элемент самый электроотрицательный?;[Фтор, Хлор, Кислород, Азот]
Биология;Легкий;Сколько хромосом у человека?;[46, 23, 48, 44]
Биология;Легкий;Какая клетка самая большая?;[Яйцеклетка, Нейрон, Эритроцит, Лейкоцит]
Биология;Легкий;Что такое ДНК?;[Носитель генетической информации, Белок, Липид, Углевод]
Биология;Легкий;Сколько камер у сердца человека?;[4, 2, 3, 5]
Биология;Легкий;Кто открыл структуру ДНК?;[Уотсон и Крик, Мендель, Дарвин, Мечников]
Биология;Средний;Как называется процесс деления клетки?;[Митоз, Мейоз, Фагоцитоз, Осмос]
Биология;Средний;Какая ткань соединяет мышцы с костями?;[Сухожилие, Связка, Хрящ, Кость]
Биология;Средний;Сколько костей в теле взрослого человека?;[206, 200, 210, 215]
Биология;Средний;Какой орган фильтрует кровь?;[Почки, Печень, Сердце, Лёгкие]
Биология;Средний;Что такое фотосинтез?;[Процесс создания пищи растениями, Процесс дыхания, Процесс роста, Процесс размножения]
Биология;Сложный;Кто считается отцом генетики?;[Грегор Мендель, Чарльз Дарвин, Луи Пастер, Роберт Кох]
Биология;Сложный;Какая клетка производит антитела?;[B-лимфоциты, T-лимфоциты, Эритроциты, Тромбоциты]
Биология;Сложный;Что такое митохондрия?;[Энергетическая станция клетки, Ядро клетки, Рибосома, Лизосома]
Биология;Сложный;Какой гормон регулирует уровень сахара?;[Инсулин, Адреналин, Тестостерон, Эстроген]
Биология;Сложный;Сколько пар хромосом у человека?;[23, 46, 22, 24]
Спорт;Легкий;Сколько игроков в футбольной команде на поле?;[11, 10, 12, 9]
Спорт;Легкий;В каком виде спорта используется мяч?;[Футбол, Бокс, Плавание, Лыжи]
Спорт;Легкий;Где проходили первые Олимпийские игры?;[Афины, Рим, Париж, Лондон]
Спорт;Легкий;Сколько колец на олимпийском флаге?;[5, 6, 4, 7]
Спорт;Легкий;Кто держит рекорд по золотым медалям на Олимпиадах?;[Майкл Фелпс, Усэйн Болт, Лариса Латынина, Карл Льюис]
Спорт;Средний;В каком году Россия принимала Чемпионат мира по футболу?;[2018, 2014, 2022, 2010]
Спорт;Средний;Сколько минут в футбольном матче?;[90, 80, 100, 70]
Спорт;Средний;Какой спорт называют королём спорта?;[Футбол, Бокс, Лёгкая атлетика, Плавание]
Спорт;Средний;Где проходили Олимпийские игры 2008?;[Пекин, Лондон, Рио, Токио]
Спорт;Средний;Сколько очков за 3-очковый бросок в баскетболе?;[3, 2, 1, 4]
Спорт;Сложный;Кто держит рекорд по голам в карьере?;[Криштиану Роналду, Лионель Месси, Пеле, Марадона]
Спорт;Сложный;В каком году Россия принимала Олимпиаду?;[2014, 2018, 2012, 2016]
Спорт;Сложный;Какой вид спорта самый популярный в мире?;[Футбол, Баскетбол, Теннис, Крикет]
Спорт;Сложный;Сколько очков в теннисном сете?;[6, 5, 7, 4]
Спорт;Сложный;Кто выиграл больше всего «Золотых мячей»?;[Лионель Месси, Криштиану Роналду, Йохан Кройф, Мишель Платини]
